
来。|Lái.|Come.
请来我的家玩儿。|Qǐng lái wǒ de jiā wánr.|Please come to my house to hang out.

想。|Xiǎng.|Want 
我想喝一杯咖啡。|Wǒ xiǎng hē yī bēi kāfēi.|I want to drink a cup of coffee.

喜欢。|Xǐhuān.|Like.
我喜欢听中国音乐。|Wǒ xǐhuān tīng Zhōngguó yīnyuè.|I like listening to Chinese music.

觉得。|Juéde.|Feel 
你觉得这件衣服怎么样？|Nǐ juéde zhè jiàn yīfú zěnmeyàng?|What do you think of this clothing?

会。|Huì.|Can ./ Know how to.
我不明白，你会说英语吗？|Wǒ bù míngbái, nǐ huì shuō Yīngyǔ ma?|I don't understand, can you speak English?

能。|Néng.|Can ./ Be able to.
我现在能去商店。|Wǒ xiànzài néng qù shāngdiàn.|I can go to the store now.

可以。|Kěyǐ.|Can ./ May.
我可以在这里坐吗？|Wǒ kěyǐ zài zhèlǐ zuò ma?|Can I sit here?

给。|Gěi.|Give.
请给我那本书。|Qǐng gěi wǒ nà běn shū.|Please give me that book.

找。|Zhǎo.|Look for.
你在找什么东西？|Nǐ zài zhǎo shénme dōngxī?|What are you looking for?

等。|Děng.|Wait.
请等我五分钟。|Qǐng děng wǒ wǔ fēnzhōng.|Please wait for me for five minutes.

问。|Wèn.|Ask.
我想问老师一个问题。|Wǒ xiǎng wèn lǎoshī yīgè wèntí.|I want to ask the teacher a question.

知道。|Zhīdào.|Know.
我不知道他的名字。|Wǒ bù zhīdào tā de míngzì.|I don't know his name.

帮助。|Bāngzhù.|Help.
谢谢你帮助我学习。|Xièxiè nǐ bāngzhù wǒ xuéxí.|Thank you for helping me study.

玩儿。|Wánr.|Play 
周末我们去公园玩儿吧。|Zhōumò wǒmen qù gōngyuán wánr ba.|Let's go to the park this weekend.

走。|Zǒu.|Walk ./ Leave.
太晚了，我们走吧。|Tài wǎn le, wǒmen zǒu ba.|It's too late, let's leave.

到。|Dào.|Arrive ./ Reach.
我到火车站了。|Wǒ dào huǒchēzhàn le.|I have arrived at the train station.

住。|Zhù.|Live ./ Stay.
你住在哪儿？|Nǐ zhù zài nǎr?|Where do you live?

送。|Sòng.|Give as a gift ./ Send.
我要送朋友一个礼物。|Wǒ yào sòng péngyǒu yīgè lǐwù.|I will give my friend a gift.

笑。|Xiào.|Laugh ./ Smile.
他笑得很开心。|Tā xiào dé hěn kāixīn.|He laughed very happily.

穿。|Chuān.|Wear ./ Put on.
今天冷，多穿点儿衣服。|Jīntiān lěng, duō chuān diǎnr yīfú.|Today is cold, wear more clothes.

洗。|Xǐ.|Wash.
饭前要记得洗手。|Fàn qián yào jìdé xǐshǒu.|Remember to wash hands before meals.

告诉。|Gàosù.|Tell.
请告诉他我的电话。|Qǐng gàosù tā wǒ de diànhuà.|Please tell him my phone number.

欢迎。|Huānyíng.|Welcome.
欢迎你们来中国。|Huānyíng nǐmen lái Zhōngguó.|Welcome (you all) to China.

回答。|Huídá.|Answer.
请回答我的问题。|Qǐng huídá wǒ de wèntí.|Please answer my question.

希望。|Xīwàng.|Hope.
我希望明天不下雨。|Wǒ xīwàng míngtiān bù xià yǔ.|I hope it doesn't rain tomorrow.
